;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;expresso dalva eireli;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;ctrc;numero ct-e;numero do formulario;data emissao;tipo;unidade;cnpj remetente;nome remetente;cnpj destinatario;nome destinatario;cnpj pagador; nome pagador;uf;cidade;vlr frete;vlr juro; vlr desconto;valor liqu;data liquid;unidade liqui;forma liqu;banco ag. conta;fatura;data credito caixa;vendedor;cidade destino;uf destino;login;cod mercadoria
2;cor002387-6;1000055926;0;15/04/2023;cif;;24315928000123;nayara pereira do amaral me;52591195000195;banca de frios sao miguel ltda - me;24315928000123;nayara pereira do amaral me b.;mg;coromandel;320;0;0;320;03/07/2023;mtz;carteira;0999 011111 111111111;42740-3;03/07/2023;;sao paulo;sp;lilia   ;1
2;cor002399-0;1000055938;0;06/05/2023;cif;;25812017000174;ind de lat coronata ltda;22313159000360;expresso dalva;25812017000174;ind de lat coronata ltda a.;mg;coromandel;6.665,00;0;0;6.665,00;03/07/2023;mtz;banco;0136 005831 000077520;43629-1;04/07/2023;;sao paulo;sp;lilia   ;1
2;cor002406-6;1000055945;0;15/05/2023;cif;;25812017000174;ind de lat coronata ltda;22313159000360;expresso dalva;25812017000174;ind de lat coronata ltda a.;mg;coromandel;8.233,19;0;0;8.233,19;03/07/2023;mtz;banco;0136 005831 000077520;43629-1;04/07/2023;;sao paulo;sp;lilia   ;1
2;cor002409-1;1000055948;0;20/05/2023;cif;;25812017000174;ind de lat coronata ltda;22313159000360;expresso dalva;25812017000174;ind de lat coronata ltda a.;mg;coromandel;6.665,00;0;0;6.665,00;03/07/2023;mtz;banco;0136 005831 000077520;43629-1;04/07/2023;;sao paulo;sp;lilia   ;202
2;cor002414-7;1000055953;0;27/05/2023;cif;;25812017000174;ind de lat coronata ltda;22313159000360;expresso dalva;25812017000174;ind de lat coronata ltda a.;mg;coromandel;7.662,16;0;0;7.662,16;03/07/2023;mtz;banco;0136 005831 000077520;43629-1;04/07/2023;;sao paulo;sp;lilia   ;1
2;cor002415-5;1000055954;0;27/05/2023;cif;;24315928000123;nayara pereira do amaral me;52591195000195;banca de frios sao miguel ltda - me;24315928000123;nayara pereira do amaral me b.;mg;coromandel;369;0;0;369;03/07/2023;mtz;carteira;0999 011111 111111111;44265-8;03/07/2023;;sao paulo;sp;lilia   ;1
2;cos000363-8;0;0;11/04/2023;cif;;24315928000123;nayara pereira do amaral me;40290196000110;minasfrios ltda;24315928000123;nayara pereira do amaral me b.;mg;coromandel;800;0;0;800;03/07/2023;mtz;carteira;0999 011111 111111111;42740-3;03/07/2023;;ribeirao preto;sp;lilia   ;1
2;cos000369-7;0;0;29/04/2023;cif;;24315928000123;nayara pereira do amaral me;02734618000100;comercial de alimentos oliveira e beltrao;24315928000123;nayara pereira do amaral me b.;mg;coromandel;650;0;0;650;03/07/2023;mtz;carteira;0999 011111 111111111;42740-3;03/07/2023;;sao paulo;sp;lilia   ;1
2;cos000375-1;0;0;02/06/2023;cif;;24315928000123;nayara pereira do amaral me;43624204000106;comercial sigoli ltda;24315928000123;nayara pereira do amaral me b.;mg;coromandel;260;0;0;260;03/07/2023;mtz;carteira;0999 011111 111111111;44265-8;03/07/2023;;sao paulo;sp;lilia   ;1
2;cos000381-6;0;0;19/06/2023;cif;;24315928000123;nayara pereira do amaral me;38193502000159;a. e. santoro alimentos;24315928000123;nayara pereira do amaral me b.;mg;coromandel;250;0;0;250;03/07/2023;mtz;carteira;0999 011111 111111111;44858-3;03/07/2023;;sao paulo;sp;lilia   ;1
2;cos000382-4;0;0;19/06/2023;cif;;24315928000123;nayara pereira do amaral me;12759554000156;casa do norte flor do ipe ltda;24315928000123;nayara pereira do amaral me b.;mg;coromandel;300;0;0;300;03/07/2023;mtz;carteira;0999 011111 111111111;44858-3;03/07/2023;;sao bernardo do campo;sp;lilia   ;1
2;cos000383-2;0;0;19/06/2023;cif;;24315928000123;nayara pereira do amaral me;02881855000102;maria aparecida silva da rocha;24315928000123;nayara pereira do amaral me b.;mg;coromandel;250;0;0;250;03/07/2023;mtz;carteira;0999 011111 111111111;44858-3;03/07/2023;;santo andre;sp;lilia   ;1
2;cos000385-9;0;0;24/06/2023;cif;;24315928000123;nayara pereira do amaral me;52591195000195;banca de frios sao miguel ltda - me;24315928000123;nayara pereira do amaral me b.;mg;coromandel;250;0;0;250;03/07/2023;mtz;carteira;0999 011111 111111111;44858-3;03/07/2023;;sao paulo;sp;lilia   ;1
2;cos000388-3;0;0;30/06/2023;cif;;24315928000123;nayara pereira do amaral me;05060141000113;sul bahia comercio de alimentos ltda;24315928000123;nayara pereira do amaral me b.;mg;coromandel;250;0;0;250;03/07/2023;mtz;carteira;0999 011111 111111111;44858-3;03/07/2023;;sao paulo;sp;lilia   ;1
2;gyn002493-7;1000002451;0;12/06/2023;fob;;97529779000179;marbrilho ind e com eireli;26201744000168;grsc mendes eireli me;26201744000168;grsc mendes eireli me c.;mg;uberlandia;212,27;0;0;212,27;03/07/2023;mtz;banco;0136 005831 000077520;44246-1;04/07/2023;;uberlandia;mg;lilia   ;21
2;gyn002495-3;1000002449;0;12/06/2023;fob;;97529779000179;marbrilho ind e com eireli;23045334001825;fmj comercio de tintas ltda;23045334001825;fmj comercio de tintas ltda c.;mg;uberlandia;245,2;0;0;245,2;03/07/2023;mtz;banco;0136 005831 000077520;44256-9;04/07/2023;;uberlandia;mg;lilia   ;1
2;gyn002496-1;1000002448;0;12/06/2023;fob;;97529779000179;marbrilho ind e com eireli;28258414000134;deusmar caetano rosa;28258414000134;deusmar caetano rosa ..;mg;uberlandia;134,55;0;0;134,55;03/07/2023;mtz;banco;0136 005831 000077520;44251-8;04/07/2023;;uberlandia;mg;lilia   ;1
2;gyn002504-6;1000002459;0;13/06/2023;fob;;92690478000370;casa das correntes ind e com s;22197388000103;anfa industria e comercio ltda;22197388000103;anfa industria e comercio l c.;mg;vazante;120,91;0;0;120,91;03/07/2023;mtz;banco;0136 005831 000077520;44313-1;04/07/2023;;vazante;mg;lilia   ;1
