lkp1_nome_estabelecimento;data_movimento;competencia;lote;lancamento;ordem;numero_titulo;numero;codigo;lkp2_historico_movimento_contabil;historico;centro_custo;cdeb_codigo_contabil;cdeb_codigo_reduzido;cdeb_titulo;cred_codigo_contabil;cred_codigo_reduzido;cred_titulo;sql_debito;sql_credito;codigo_contabil;codigo_reduzido;tipo_operacao;valor_movimento
paramalhas - filial;03/07/2023;202307;924;1;1;9137;;70;cliente - recto dpl/boleto;darilei everton parreira - 9137/1;;1.1.1.2.1;11002;banco do brasil c/c;;;;-100.0;;1.1.1.2.1;11002;-1;100.00
paramalhas - filial;03/07/2023;202307;924;1;2;9137;;70;cliente - recto dpl/boleto;darilei everton parreira - 9137/1;;;;;1.1.2.1.20491;20491;darilei everton parreira;;100.0;1.1.2.1.20491;20491;1;100.00
paramalhas - filial;04/07/2023;202307;427;1;1;1759694;;60;fornecedor - pgto dpl;mg empresa brasileira de correios e telegrafos - 1759694/4;;2.1.1.1.25018;25018;empresa brasileira de correios e telegrafos;;;;-110.3;;2.1.1.1.25018;25018;-1;110.30
paramalhas - filial;04/07/2023;202307;427;1;2;1759694;;60;fornecedor - pgto dpl;mg empresa brasileira de correios e telegrafos - 1759694/4;;;;;1.1.1.1.1;11001;caixa;;110.3;1.1.1.1.1;11001;1;110.30
paramalhas - filial;04/07/2023;202307;429;1;1;3006861877;;130;pagto energia eletrica;cemig distribuicao s.a - 3006861877/5;;4.2.1.4.3;14032;energia eletrica - adm;;;;-422.49;;4.2.1.4.3;14032;-1;422.49
paramalhas - filial;04/07/2023;202307;429;1;2;3006861877;;130;pagto energia eletrica;cemig distribuicao s.a - 3006861877/5;;;;;1.1.1.1.1;11001;caixa;;422.49;1.1.1.1.1;11001;1;422.49
paramalhas - filial;04/07/2023;202307;431;1;1;943784;;60;fornecedor - pgto dpl;kr saude servicos medicos - monte siao ltda - 943784/9;;2.1.1.13.25805;25805;kr saude servicos medicos - monte siao ltda;;;;-73.97;;2.1.1.13.25805;25805;-1;73.97
paramalhas - filial;04/07/2023;202307;431;1;2;943784;;60;fornecedor - pgto dpl;kr saude servicos medicos - monte siao ltda - 943784/9;;;;;1.1.1.1.1;11001;caixa;;73.97;1.1.1.1.1;11001;1;73.97
paramalhas - filial;04/07/2023;202307;432;1;1;150423;;131;pagto agua;companhia de saneamento de minas gerais copasa mg - 150423/4;;4.2.1.4.1;14030;agua -adm;;;;-46.71;;4.2.1.4.1;14030;-1;46.71
paramalhas - filial;04/07/2023;202307;432;1;2;150423;;131;pagto agua;companhia de saneamento de minas gerais copasa mg - 150423/4;;;;;1.1.1.1.1;11001;caixa;;46.71;1.1.1.1.1;11001;1;46.71
