data do lanamento	data da efetivao	status	transao	identificador de antecipao	status da transao	descrio	parcela	valor	nome do produto	saldo
15/01/2023	31/01/2023	efetivado	hp47116737929324		completo	reclculo de comisses - tarifa hotmart		-0.89	foguete play	701.08
15/01/2023	31/01/2023	efetivado	hp47116737929324		completo	estorno de tarifa hotmart		0.89	foguete play	701.97
15/01/2023	31/01/2023	efetivado	hp47116737929324		completo	reclculo de comisses - comisso co-produtor		-1.15	foguete play	701.08
15/01/2023	31/01/2023	efetivado	hp47116737929324		completo	estorno de comisso co-produtor		1.15	foguete play	702.23
15/01/2023	31/01/2023	efetivado	hp47116737929324		completo	reclculo de comisses - comisso co-produtor		-1.28	foguete play	701.08
15/01/2023	31/01/2023	efetivado	hp47116737929324		completo	estorno de comisso co-produtor		1.28	foguete play	702.36
15/01/2023	31/01/2023	efetivado	hp47116737929324		completo	reclculo de comisses - comisso afiliado		-2.57	foguete play	701.08
15/01/2023	31/01/2023	efetivado	hp47116737929324		completo	estorno de comisso afiliado		2.57	foguete play	703.65
15/01/2023	31/01/2023	efetivado	hp47116737929324		completo	reclculo de comisses - comisso de venda		6.02	foguete play	701.08
15/01/2023	31/01/2023	efetivado	hp47116737929324		completo	estorno de comisso de venda		-6.02	foguete play	695.06
15/01/2023	31/01/2023	efetivado	hp44516737935916		completo	reclculo de comisses - tarifa hotmart		-0.89	foguete play	701.08
15/01/2023	31/01/2023	efetivado	hp44516737935916		completo	estorno de tarifa hotmart		0.89	foguete play	701.97
15/01/2023	31/01/2023	efetivado	hp44516737935916		completo	reclculo de comisses - comisso co-produtor		-2.31	foguete play	701.08
15/01/2023	31/01/2023	efetivado	hp44516737935916		completo	estorno de comisso co-produtor		2.31	foguete play	703.39
15/01/2023	31/01/2023	efetivado	hp44516737935916		completo	reclculo de comisses - comisso co-produtor		-2.57	foguete play	701.08
15/01/2023	31/01/2023	efetivado	hp44516737935916		completo	estorno de comisso co-produtor		2.57	foguete play	703.65
15/01/2023	31/01/2023	efetivado	hp44516737935916		completo	reclculo de comisses - comisso de venda		6.02	foguete play	701.08
15/01/2023	31/01/2023	efetivado	hp44516737935916		completo	estorno de comisso de venda		-6.02	foguete play	695.06
16/01/2023	31/01/2023	efetivado	hp18716739110987		completo	tarifa hotmart		-8.11	foguete play + ao vivo	701.08
16/01/2023	31/01/2023	efetivado	hp18716739110987		completo	comisso co-produtor		-49.00	foguete play + ao vivo	709.19
16/01/2023	31/01/2023	efetivado	hp18716739110987		completo	comisso co-produtor		-54.45	foguete play + ao vivo	758.19
16/01/2023	31/01/2023	efetivado	hp18716739110987		completo	comisso de venda		117.00	foguete play + ao vivo	812.64
16/01/2023	31/01/2023	efetivado	hp16916739046384		completo	comisso co-produtor		0.00	foguete play	695.64
16/01/2023	31/01/2023	efetivado	hp16916739046384		completo	comisso co-produtor		0.00	foguete play	695.64
16/01/2023	31/01/2023	efetivado	hp16916739046384		completo	tarifa hotmart		0.00	foguete play	695.64
16/01/2023	31/01/2023	efetivado	hp16916739046384		completo	comisso de venda		0.00	foguete play	695.64
16/01/2023	31/01/2023	efetivado	hp13116739031763		completo	tarifa hotmart		-2.78	foguete play + ao vivo	695.64
16/01/2023	31/01/2023	efetivado	hp13116739031763		completo	comisso co-produtor		-8.70	foguete play + ao vivo	698.42
16/01/2023	31/01/2023	efetivado	hp13116739031763		completo	comisso co-produtor		-9.67	foguete play + ao vivo	707.12
16/01/2023	31/01/2023	efetivado	hp13116739031763		completo	comisso afiliado		-12.89	foguete play + ao vivo	716.79
16/01/2023	31/01/2023	efetivado	hp13116739031763		completo	comisso de venda		35.00	foguete play + ao vivo	729.68
16/01/2023	31/01/2023	efetivado	hp16016739030421		completo	comisso afiliado		0.00	foguete play	694.68
16/01/2023	31/01/2023	efetivado	hp16016739030421		completo	comisso co-produtor		0.00	foguete play	694.68
16/01/2023	31/01/2023	efetivado	hp16016739030421		completo	comisso co-produtor		0.00	foguete play	694.68
16/01/2023	31/01/2023	efetivado	hp16016739030421		completo	tarifa hotmart		0.00	foguete play	694.68
16/01/2023	31/01/2023	efetivado	hp16016739030421		completo	comisso de venda		0.00	foguete play	694.68
16/01/2023	31/01/2023	efetivado	hp47216739020716		completo	comisso co-produtor		0.00	foguete play	694.68
16/01/2023	31/01/2023	efetivado	hp47216739020716		completo	comisso co-produtor		0.00	foguete play	694.68
16/01/2023	31/01/2023	efetivado	hp47216739020716		completo	tarifa hotmart		0.00	foguete play	694.68
16/01/2023	31/01/2023	efetivado	hp47216739020716		completo	comisso de venda		0.00	foguete play	694.68
16/01/2023	31/01/2023	efetivado	hp12816739016678		completo	comisso co-produtor		0.00	foguete play + ao vivo	694.68
16/01/2023	31/01/2023	efetivado	hp12816739016678		completo	comisso co-produtor		0.00	foguete play + ao vivo	694.68
16/01/2023	31/01/2023	efetivado	hp12816739016678		completo	tarifa hotmart		0.00	foguete play + ao vivo	694.68
16/01/2023	31/01/2023	efetivado	hp12816739016678		completo	comisso de venda		0.00	foguete play + ao vivo	694.68
