



      jessica, sf: sc, empresa: rodomoveis transportes e madeiras ltda                                                               pgina 1 

      contas a pagar - faturas pagas                                                                         emitido em 03/10/2022 08:45:53 
      n fatura      fornecedor                              vencimento              valor         desc    acres.          total     dt pgto. 

      102919-sc      auto posto manoes ltda                   01/09/22          2.454,09          0,00      0,00      2.454,09    01/09/22 

      1035801-sc     ipiranga produtos de petroleo sa          01/09/22        30.434,00           0,00      0,00    30.434,00     01/09/22 
      519368-2-sc    scherer sa com de autopecas               01/09/22          2.501,66          0,00      0,00      2.501,66    01/09/22 
      10009-sc       auto posto pro tork imbau                 02/09/22            488,50          0,00      0,00        488,50    02/09/22 

      415803-sc      cunhados com autopecas                    02/09/22            820,96          0,00      0,00        820,96    02/09/22 
      8498-sc        ilha tintas ltda                          02/09/22            658,87          0,00      0,00        658,87    02/09/22 

      50939-sc       mjj comercio de comb- platinao mt         02/09/22          2.794,81          0,00      0,00      2.794,81    02/09/22 
      139702-sc      raizen mime combustiveis s.a              02/09/22        30.509,50           0,00      0,00    30.509,50     02/09/22 

      198980-sc      rede dom pedro                            02/09/22          1.726,98          0,00      0,00      1.726,98    02/09/22 
      20247-sc       rede dom pedro - oliveira -mg             02/09/22          3.582,37          0,00      0,00      3.582,37    02/09/22 

      39525-sc       rede dom pedro de postos lorena - s       02/09/22          1.647,50          0,00      0,00      1.647,50    02/09/22 
      1424-sc        transportes edemar russi ltda             02/09/22        34.088,03           0,00      0,00    34.088,03     02/09/22 

      1423-sc        transportes edemar russi ltda             02/09/22            800,00          0,00      0,00        800,00    02/09/22 
      126382-sc      mallon concessionaria de veculos c       03/09/22          1.196,69      1.272,82      0,00        -76,13    03/09/22 

      2376-sc        agricopel com.deriv.de petroleo ltd       05/09/22          9.052,00          0,00      0,00      9.052,00    05/09/22 
      71482-sc       allianz seguros s/a                       05/09/22            290,65          0,00      0,00        290,65    05/09/22 
      3762827-sc     auto posto m frutal ltda                  05/09/22          3.835,44          0,00      0,00      3.835,44    05/09/22 

      13272-sc       auto posto manoes ltda                   05/09/22            500,00          0,00      0,00        500,00    05/09/22 
      13314-sc       auto posto manoes ltda                   05/09/22            500,00          0,00      0,00        500,00    05/09/22 

      103587-sc      auto posto manoes ltda                   05/09/22          1.671,78          0,00      0,00      1.671,78    05/09/22 
      13284-sc       auto posto manoes ltda                   05/09/22          6.973,68          0,00      0,00      6.973,68    05/09/22 

      6057-sc        cronotacografo                            05/12/22            207,34          0,00      0,00        207,34    05/09/22 
      2242-sc        gobrax omni brasil                        05/09/22          6.265,00          0,00      0,00      6.265,00    05/09/22 

      5964-sc        lino comercio de pneus                    05/09/22          1.135,50          0,00      0,00      1.135,50    05/09/22 
      51306-sc       mjj comercio de comb- platinao mt         04/09/22          1.666,15          0,00      0,00      1.666,15    05/09/22 

      57043-sc       posto paradao da 101                      03/09/22          4.699,27          0,00      0,00      4.699,27    05/09/22 
      738327-sc      pst eletronca                             05/09/22            120,62          0,00      0,00        120,62    05/09/22 

      162299-sc      pst eletronca                             05/09/22          1.421,28          0,00      0,00      1.421,28    05/09/22 
      139827-sc      raizen mime combustiveis s.a              05/09/22        30.509,50           0,00      0,00    30.509,50     05/09/22 
      139902-sc      raizen mime combustiveis s.a              05/09/22        30.509,50           0,00      0,00    30.509,50     05/09/22 

      526046-sc      scherer sa com de autopecas               05/09/22          1.078,99          0,00      0,00      1.078,99    05/09/22 
      521212-2-sc    scherer sa com de autopecas               05/09/22            351,00          0,00      0,00        351,00    05/09/22 

      521090-2-sc    scherer sa com de autopecas               05/09/22            513,75          0,00      0,00        513,75    05/09/22 
      509315-sc      scherer sa com de autopecas               02/09/22            884,01        769,00      0,00        115,01    05/09/22 

      116759-sc      transportadora taborda ltda               03/09/22        24.120,00           0,00      0,00    24.120,00     05/09/22 
      65071-sc       autofix fixacao automotiva ltda epp       06/09/22            355,39          0,00      0,00        355,39    06/09/22 

      300-sc         centronor centro de trein. de moto        06/09/22          1.426,52          0,00      0,00      1.426,52    06/09/22 
      633-sc         claudio silva comercio de artigosde       06/09/22          8.500,00          0,00      0,00      8.500,00    06/09/22 

      16770-sc       duarte estofaria e acessorios ltda        06/09/22            195,00          0,00      0,00        195,00    06/09/22 
      662-sc         fabio de vargas horst - me                09/09/22            290,00          0,00      0,00        290,00    06/09/22 

      127608-sc      fgts                                      06/09/22            12,76           0,00      0,00        12,76     06/09/22 
      371963-sc      fgts                                      06/09/22          3.719,63          0,00      0,00      3.719,63    06/09/22 
      1279130-sc     fgts                                      06/09/22        12.791,30           0,00      0,00    12.791,30     06/09/22 

      138672-sc      fgts                                      06/09/22          1.386,72          0,00      0,00      1.386,72    06/09/22 
      125615-sc      mallon concessionaria de veculos c       08/09/22        100.000,00          0,00      0,00  100.000,00      06/09/22 

      2c90-sc        michael cardoso mei                       06/09/22            370,00          0,00      0,00        370,00    06/09/22 
      116759-2-sc    transportadora taborda ltda               06/09/22        24.120,00           0,00      0,00    24.120,00     06/09/22 

      8990-sc        auto peas paitra                         08/09/22          1.424,00          0,00      0,00      1.424,00    08/09/22 
      13492-sc       auto posto manoes ltda                   08/09/22            500,00          0,00      0,00        500,00    08/09/22 

      104201-sc      auto posto manoes ltda                   08/09/22          3.529,46          0,00      0,00      3.529,46    08/09/22 
      13503-sc       auto posto manoes ltda                   08/09/22          2.816,51          0,00      0,00      2.816,51    08/09/22 

      34761-sc       auto posto verenka 05 ltda                08/09/22          2.756,00          0,00      0,00      2.756,00    08/09/22 

------------------------------------------------------------------------





      jessica, sf: sc, empresa: rodomoveis transportes e madeiras ltda                                                               pgina 2 

      contas a pagar - faturas pagas                                                                         emitido em 03/10/2022 08:45:53 
      n fatura      fornecedor                              vencimento              valor         desc    acres.          total     dt pgto. 

      102419-2-sc    carga textil ind. e com. de equip.de m    08/09/22          2.227,75          0,00      0,00      2.227,75    08/09/22 

      33784-sc       cunhados com autopecas                    07/09/22          2.754,47          0,00      0,00      2.754,47    08/09/22 
      65278-sc       je ferragens - fermaq                     07/09/22            825,00          0,00      0,00        825,00    08/09/22 
      65299-sc       je ferragens - fermaq                     08/09/22            343,60          0,00      0,00        343,60    08/09/22 

