ms de julho 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
despesas;observao;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aluguel (cardial);10;;;;;;;;;;;r$ 500,00;;;;;;;;;;;;;;;;;;;;
condomnio + gua (paes leme);5;;;;;r$ 913,62;;;;;;;;;;;;;;;;;;;;;;;;;;
condomnio (sala 502);1;r$ 2.814,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
estacionamento trevo ;1;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
iptu card arcoverde;9;;;;;;;;;;;r$ 489,14;;;;;;;;;;;;;;;;;;;;
iptu pais leme 503;9;;;;;;;;;;;x;;; ;;;;;;;;;;;;;;;;;
telefone (mvel);26;;;;;;;;;;;;;;;;;;;;;;;;;;r$ 151,98;;;;;
telefone (130 chips);26;;;;;;;;;;;;;;;;;;;;;;;;;;r$ 14.325,58;;;;;
telefone (13 chips);26;;;;;;;;;;;;;;;;;;;;;;;;;;r$ 998,85;;;;;
vivo (1 chip);26;;;;;;;;;;;;;;;;;;;;;;;;;;r$ 49,99;;;;;
vivo (14 chip);26;;;;;;;;;;;;;;;;;;;;;;;;;;r$ 534,84;;;;;
vivo (2 chips randstad);26;;;;;;;;;;;;;;;;;;;;;;;;;;r$ 101,98;;;;;
vivo (fibra) libero ;25;;;;;;;;;;;;;;;;;;;;;;;;;;r$ 160,58;;;;;
luz (enel) sala 502;7;;;;;;;r$ 90,06;;;;;;;;;;;;;;;;;;;;;;;;
luz (enel) sala 503;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;r$ 31,72;;;
gua (sabesp);vence dia 10;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
ploomes;18;;;;;;;;;;;;;;;;;;r$ 363,30;;;;;;;;;;;;;
