
 ====================================================================================================================================
 | impresdat  |                       resumo no periodo 01/06/22 a 30/06/22 emissao : 06/01/23                          | pag.    1 |
 ====================================================================================================================================
 |                                                       r.r. tavares                                                         14:58 |
 ====================================================================================================================================
 data       vr vendas      dinheiro   cartao debit   cartao cred.   cheque        vale refei      crediario      credito    pag digital      pix
------------------------------------------------------------------------------------------------------------------------------------
 01/06/22    3.398,97      1.450,97         745,00          51,00           0,00           0,00         236,00          0,00           0,00           0,00
 02/06/22    1.620,00         76,00         557,00          60,00           0,00           0,00           0,00          0,00           0,00           0,00
 03/06/22    2.002,00      1.200,00          75,00         633,00           0,00           0,00           0,00          0,00           0,00           0,00
 06/06/22      883,65        142,65          50,00           0,00           0,00           0,00           0,00          0,00           0,00         568,00
 07/06/22    3.773,99      1.705,99          35,00          68,00           0,00           0,00          33,00          0,00           0,00           0,00
 08/06/22    3.089,95        447,95         581,00         505,00           0,00           0,00         170,00          0,00           0,00           0,00
 09/06/22    1.690,85        196,85         781,00           0,00           0,00           0,00         128,00          0,00           0,00         170,00
 10/06/22    1.778,50        608,50           0,00           0,00           0,00           0,00         921,00          0,00           0,00           2,00
 13/06/22    2.520,27        273,27         761,00         905,00           0,00           0,00          80,00          0,00           0,00           0,00
 14/06/22    1.552,00         34,00         927,00         427,00           0,00           0,00         110,00          0,00           0,00           0,00
 15/06/22    3.792,70      1.989,20         105,00          79,50           0,00           0,00       1.432,00          0,00           0,00           0,00
 17/06/22    5.537,25      1.028,25           0,00         326,00           0,00           0,00         330,00          0,00           0,00           0,00
 20/06/22    1.106,00         82,00          19,00          55,00           0,00           0,00         260,00          0,00           0,00           0,00
 21/06/22    1.652,00        630,00         398,00         112,00           0,00           0,00          56,00          0,00           0,00          40,00
 22/06/22    2.075,00        310,00         404,00          12,00           0,00           0,00         495,00          0,00           0,00          40,00
 23/06/22    1.256,00         75,00         411,00         385,00           0,00           0,00         178,00          0,00           0,00           0,00
 24/06/22    1.283,50        404,00         304,00          80,00           0,00           0,00           0,00          0,00           0,00           3,00
 27/06/22    3.591,40      1.217,40         502,00         226,00           0,00           0,00         350,00          0,00           0,00           0,00
 28/06/22    1.549,90         36,00         284,00           0,00           0,00           0,00         120,00          0,00           0,00         504,90
 30/06/22    8.129,60      2.111,20         180,40         416,00           0,00           0,00       3.414,00          0,00           0,00           0,00

    totais    52.283,53     14.019,23       7.119,40       4.340,50          0,00          0,00       8.313,00          0,00           0,00       1.327,90

           quantidade =         20
